"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\TestFlow\client\src\components\modals\addUserToGroupModal\addUserToGroupModal.module.css", "PostCSS", 0, 0, 8, 0, 3, 11
"d:\TestFlow\client\src\components\modals\confirmModal\ConfirmModal.jsx", "JavaScript JSX", 0, 51, 0, 0, 3, 54
"d:\TestFlow\client\src\components\modals\openTests\OpenTests.jsx", "JavaScript JSX", 0, 70, 0, 0, 7, 77
"d:\TestFlow\client\src\components\modals\openTests\openTests.module.css", "PostCSS", 0, 0, 8, 0, 3, 11
"d:\TestFlow\client\src\components\modals\userResultModal\UserResultModal.jsx", "JavaScript JSX", 0, 67, 0, 0, 8, 75
"d:\TestFlow\client\src\components\routes\AdminRoutes.jsx", "JavaScript JSX", 0, 38, 0, 0, 6, 44
"d:\TestFlow\client\src\components\routes\PublicRoutes.jsx", "JavaScript JSX", 0, 10, 0, 0, 1, 11
"d:\TestFlow\client\src\components\routes\UserRoutes.jsx", "JavaScript JSX", 0, 25, 0, 0, 2, 27
"d:\TestFlow\client\src\components\tables\rowActions\RowActionsGroups.jsx", "JavaScript JSX", 0, 44, 0, 0, 6, 50
"d:\TestFlow\client\src\components\tables\rowActions\RowActionsRespondents.jsx", "JavaScript JSX", 0, 53, 0, 0, 7, 60
"d:\TestFlow\client\src\components\tables\rowActions\RowActionsTests.jsx", "JavaScript JSX", 0, 37, 0, 0, 7, 44
"d:\TestFlow\client\src\components\tables\table\Table.jsx", "JavaScript JSX", 0, 43, 0, 0, 3, 46
"d:\TestFlow\client\src\components\tables\table\table.module.css", "PostCSS", 0, 0, 28, 0, 5, 33
"d:\TestFlow\client\src\components\testCard\TestCard.jsx", "JavaScript JSX", 0, 41, 0, 0, 5, 46
"d:\TestFlow\client\src\components\testCard\style.module.css", "PostCSS", 0, 0, 31, 0, 4, 35
"d:\TestFlow\client\src\components\testResultCard\TestResultCard.jsx", "JavaScript JSX", 0, 109, 0, 0, 12, 121
"d:\TestFlow\client\src\components\testResultCard\testResultCard.module.css", "PostCSS", 0, 0, 64, 1, 15, 80
